id,z_ice_sfc,z_ice_bott,z_ice_bed,x,distance,angle
"56",,,"-983","160",56000.000000000000000,77.794285367166637
"57",,,"-992","159",57000.000000000000000,77.794285367166637
"58",,,"-987","158",58000.000000000000000,77.794285367166637
"59",,,"-984","157",59000.000000000000000,77.794285367166637
"60",,,"-984","156",60000.000000000000000,77.794285367166637
"61",,,"-991","155",61000.000000000000000,77.794285367166637
"62",,,"-1015","154",62000.000000000000000,77.794285367166637
"63",,,"-1025","153",63000.000000000000000,77.794285367166637
"64",,,"-1026","152",64000.000000000000000,77.794285367166637
"65",,,"-1008","151",65000.000000000000000,77.794285367166637
"66",,,"-1010","150",66000.000000000000000,77.794285367166637
"67",,,"-989","149",67000.000000000000000,77.794285367166637
"68",,,"-973","148",68000.000000000000000,77.794285367166637
"69",,,"-956","147",69000.000000000000000,77.794285367166637
"70",,,"-940","146",70000.000000000000000,77.794285367166637
"71",,,"-900","145",71000.000000000000000,77.794285367166637
"72",,,"-893","144",72000.000000000000000,77.794285367166637
"73",,,"-881","143",73000.000000000000000,77.794285367166637
"74",,,"-867","142",74000.000000000000000,77.794285367166637
"75",,,"-853","141",75000.000000000000000,77.794285367166637
"76",,,"-828","140",76000.000000000000000,77.794285367166637
"77",,,"-833","139",77000.000000000000000,77.794285367166637
"78",,,"-839","138",78000.000000000000000,77.794285367166637
"79",,,"-844","137",79000.000000000000000,77.794285367166637
"80",,,"-846","136",80000.000000000000000,77.794285367166637
"81",,,"-849","135",81000.000000000000000,77.794285367166637
"82",,,"-853","134",82000.000000000000000,77.794285367166637
"83",,,"-850","133",83000.000000000000000,77.794285367166637
"84",,,"-854","132",84000.000000000000000,77.794285367166637
"85",,,"-864","131",85000.000000000000000,77.794285367166637
"86",,,"-881","130",86000.000000000000000,77.794285367166637
"87",,,"-893","129",87000.000000000000000,77.794285367166637
"88",,,"-900","128",88000.000000000000000,77.794285367166637
"89",,,"-906","127",89000.000000000000000,77.794285367166637
"90",,,"-903","126",90000.000000000000000,77.794285367166637
"91",,,"-909","125",91000.000000000000000,77.794285367166637
"92",,,"-915","124",92000.000000000000000,77.794285367166637
"93",,,"-922","123",93000.000000000000000,77.794285367166637
"94",,,"-940","122",94000.000000000000000,77.794285367166637
"95",,,"-943","121",95000.000000000000000,77.794285367166637
"96",,,"-962","120",96000.000000000000000,77.794285367166637
"97",,,"-980","119",97000.000000000000000,77.794285367166637
"98",,,"-1002","118",98000.000000000000000,77.794285367166637
"99",,,"-1032","117",99000.000000000000000,77.794285367166637
"100",,,"-1060","116",100000.000000000000000,77.794285367166637
"101",,,"-1096","115",101000.000000000000000,77.794285367166637
"102",,,"-1131","114",102000.000000000000000,77.794285367166637
"103",,,"-1162","113",103000.000000000000000,77.794285367166637
"104",,,"-1158","112",104000.000000000000000,77.794285367166637
"105",,,"-1150","111",105000.000000000000000,77.794285367166637
"106",,,"-1143","110",106000.000000000000000,77.794285367166637
"107",,,"-1141","109",107000.000000000000000,77.794285367166637
"108",,,"-1146","108",108000.000000000000000,77.794285367166637
"109",,,"-1083","107",109000.000000000000000,77.794285367166637
"110",,,"-1069","106",110000.000000000000000,77.794285367166637
"111",,,"-1054","105",111000.000000000000000,77.794285367166637
"112",,,"-1043","104",112000.000000000000000,77.794285367166637
"113",,,"-1039","103",113000.000000000000000,77.794285367166637
"114",,,"-967","102",114000.000000000000000,77.794285367166637
"115",,,"-977","101",115000.000000000000000,77.794285367166637
"116",,,"-982","100",116000.000000000000000,77.794285367166637
"117",,,"-985","99",117000.000000000000000,77.794285367166637
"118",,,"-989","98",118000.000000000000000,77.794285367166637
"119",,,"-945","97",119000.000000000000000,77.794285367166637
"120",,,"-956","96",120000.000000000000000,77.794285367166637
"121",,,"-953","95",121000.000000000000000,77.794285367166637
"122",,,"-945","94",122000.000000000000000,77.794285367166637
"123",,,"-931","93",123000.000000000000000,77.794285367166637
"124",,,"-937","92",124000.000000000000000,77.794285367166637
"125",,,"-937","91",125000.000000000000000,77.794285367166637
"126",,,"-934","90",126000.000000000000000,77.794285367166637
"127",,,"-905","89",127000.000000000000000,77.794285367166637
"128",,,"-878","88",128000.000000000000000,77.794285367166637
"129",,,"-842","87",129000.000000000000000,77.794285367166637
"130","42","-179","-810","86",130000.000000000000000,77.794285367166637
"131","43","-183","-783","85",131000.000000000000000,77.794285367166637
"132","44","-185","-757","84",132000.000000000000000,77.794285367166637
"133","44","-185","-725","83",133000.000000000000000,77.794285367166637
"134","44","-184","-699","82",134000.000000000000000,77.794285367166637
"135","45","-192","-680","81",135000.000000000000000,77.794285367166637
"136","47","-202","-668","80",136000.000000000000000,77.794285367166637
"137","48","-214","-661","79",137000.000000000000000,77.794285367166637
"138","48","-215","-641","78",138000.000000000000000,77.794285367166637
"139","49","-224","-636","77",139000.000000000000000,77.794285367166637
"140","50","-228","-633","76",140000.000000000000000,77.794285367166637
"141","50","-223","-633","75",141000.000000000000000,77.794285367166637
"142","48","-215","-631","74",142000.000000000000000,77.794285367166637
"143","49","-215","-634","73",143000.000000000000000,77.794285367166637
"144","49","-214","-634","72",144000.000000000000000,77.794285367166637
"145","48","-208","-634","71",145000.000000000000000,77.794285367166637
"146","48","-207","-635","70",146000.000000000000000,77.794285367166637
"147","47","-201","-634","69",147000.000000000000000,77.794285367166637
"148","48","-208","-636","68",148000.000000000000000,77.794285367166637
"149","50","-216","-637","67",149000.000000000000000,77.794285367166637
"150","51","-220","-639","66",150000.000000000000000,77.794285367166637
"151","52","-226","-640","65",151000.000000000000000,77.794285367166637
"152","53","-228","-639","64",152000.000000000000000,77.794285367166637
"153","54","-234","-639","63",153000.000000000000000,77.794285367166637
"154","54","-239","-639","62",154000.000000000000000,77.794285367166637
"155","55","-245","-639","61",155000.000000000000000,77.794285367166637
"156","55","-246","-637","60",156000.000000000000000,77.794285367166637
"157","56","-255","-638","59",157000.000000000000000,77.794285367166637
"158","57","-262","-639","58",158000.000000000000000,77.794285367166637
"159","57","-272","-640","57",159000.000000000000000,77.794285367166637
"160","59","-282","-643","56",160000.000000000000000,77.794285367166637
"161","59","-290","-641","55",161000.000000000000000,77.794285367166637
"162","60","-296","-641","54",162000.000000000000000,77.794285367166637
"163","62","-302","-642","53",163000.000000000000000,77.794285367166637
"164","62","-309","-643","52",164000.000000000000000,77.794285367166637
"165","63","-311","-645","51",165000.000000000000000,77.794285367166637
"166","63","-325","-640","50",166000.000000000000000,77.794285367166637
"167","61","-305","-641","49",167000.000000000000000,77.794285367166637
