,Unnamed: 0,z_ice_sfc,z_ice_bott,z_ice_bed,x,csw,cdw,mw,y_near,y_mid,y_far
156,156,55.0,-246.0,-637,3000.0,,-425.0,-266.0,-0.1,0.0,0.1
157,157,56.0,-255.0,-638,2950.0,,-425.0,-275.0,-0.1,0.0,0.1
158,158,57.0,-262.0,-639,2900.0,,-425.0,-282.0,-0.1,0.0,0.1
159,159,57.0,-272.0,-640,2850.0,,-425.0,-292.0,-0.1,0.0,0.1
160,160,59.0,-282.0,-643,2800.0,,-425.0,-302.0,-0.1,0.0,0.1
161,161,59.0,-290.0,-641,2750.0,,-425.0,-310.0,-0.1,0.0,0.1
162,162,60.0,-296.0,-641,2700.0,,-425.0,-316.0,-0.1,0.0,0.1
163,163,62.0,-302.0,-642,2650.0,,-425.0,-322.0,-0.1,0.0,0.1
164,164,62.0,-309.0,-643,2600.0,,-425.0,-329.0,-0.1,0.0,0.1
165,165,63.0,-311.0,-645,2550.0,,-425.0,-331.0,-0.1,0.0,0.1
166,166,63.0,-325.0,-640,2500.0,,-425.0,-334.91735537190084,-0.1,0.0,0.1
167,167,61.0,-305.0,-641,2450.0,,-425.0,-338.8347107438017,-0.1,0.0,0.1
168,168,59.0,-290.0,-643,2400.0,,-425.0,-342.75206611570246,-0.1,0.0,0.1
169,169,59.0,-289.0,-645,2350.0,,-425.0,-346.6694214876033,-0.1,0.0,0.1
170,170,59.0,-289.0,-645,2300.0,,-425.0,-350.58677685950414,-0.1,0.0,0.1
171,171,59.0,-286.0,-638,2250.0,,-425.0,-354.504132231405,-0.1,0.0,0.1
172,172,60.0,-301.0,-640,2200.0,,-425.0,-358.4214876033058,-0.1,0.0,0.1
173,173,62.0,-312.0,-642,2150.0,,-425.0,-362.33884297520666,-0.1,0.0,0.1
174,174,63.0,-324.0,-644,2100.0,,-425.0,-366.25619834710744,-0.1,0.0,0.1
175,175,65.0,-342.0,-636,2050.0,,-425.0,-370.1735537190083,-0.1,0.0,0.1
176,176,66.0,-352.0,-635,2000.0,,-425.0,-374.0909090909091,-0.1,0.0,0.1
177,177,67.0,-357.0,-642,1950.0,,-425.0,-377.0,-0.1,0.0,0.1
178,178,68.0,-362.0,-651,1900.0,,-425.0,-382.0,-0.1,0.0,0.1
179,179,68.0,-366.0,-660,1850.0,,-425.0,-386.0,-0.1,0.0,0.1
180,180,70.0,-386.0,-654,1800.0,,-425.0,-406.0,-0.1,0.0,0.1
